01001#VITORIA-GASTEIZ#ARABA/&Aacute;LAVA
01002#VITORIA-GASTEIZ#ARABA/&Aacute;LAVA
01003#VITORIA-GASTEIZ#ARABA/&Aacute;LAVA
01004#VITORIA-GASTEIZ#ARABA/&Aacute;LAVA
01005#VITORIA-GASTEIZ#ARABA/&Aacute;LAVA
01006#VITORIA-GASTEIZ#ARABA/&Aacute;LAVA
01007#ARMENTIA#ARABA/&Aacute;LAVA
01007#VITORIA-GASTEIZ#ARABA/&Aacute;LAVA
01008#VITORIA-GASTEIZ#ARABA/&Aacute;LAVA
01009#VITORIA-GASTEIZ#ARABA/&Aacute;LAVA
01010#ALI#ARABA/&Aacute;LAVA
01010#EHARI#ARABA/&Aacute;LAVA
01010#VITORIA-GASTEIZ#ARABA/&Aacute;LAVA
01012#VITORIA-GASTEIZ#ARABA/&Aacute;LAVA
01013#ABETXUKO#ARABA/&Aacute;LAVA
01013#ARRIAGA#ARABA/&Aacute;LAVA
01013#BETO&Ntilde;O#ARABA/&Aacute;LAVA
01013#GAMARRA MAYOR#ARABA/&Aacute;LAVA
01013#GAMARRA NAGUSIA#ARABA/&Aacute;LAVA
01013#VITORIA-GASTEIZ#ARABA/&Aacute;LAVA
01015#VITORIA-GASTEIZ#ARABA/&Aacute;LAVA
01070#VITORIA-GASTEIZ#ARABA/&Aacute;LAVA
01071#VITORIA-GASTEIZ#ARABA/&Aacute;LAVA
01080#VITORIA-GASTEIZ#ARABA/&Aacute;LAVA
01110#CAMPEZO#ARABA/&Aacute;LAVA
01110#KANPEZU#ARABA/&Aacute;LAVA
01110#SANTA CRUZ DE CAMPEZO-SANTIKURUTZE KANPEZU#ARABA/&Aacute;LAVA
01117#ALDA#ARABA/&Aacute;LAVA
01117#DONE BIKENDI HARANA#ARABA/&Aacute;LAVA
01117#HARANA#ARABA/&Aacute;LAVA
01117#KONTRASTA#ARABA/&Aacute;LAVA
01117#ORBISO#ARABA/&Aacute;LAVA
01117#OTEO#ARABA/&Aacute;LAVA
01117#SAN VICENTE DE ARANA#ARABA/&Aacute;LAVA
01117#ULLIBARRI-ARANA#ARABA/&Aacute;LAVA
01117#URIBARRI-HARANA#ARABA/&Aacute;LAVA
01117#VALLE DE ARANA#ARABA/&Aacute;LAVA
01118#ANGOSTINA#ARABA/&Aacute;LAVA
01118#BERNEDO#ARABA/&Aacute;LAVA
